Epoch 01/60 | train_loss: 2.2489 train_acc: 0.3550 | val_loss: 1.0321 val_acc: 0.6565
Epoch 02/60 | train_loss: 1.2151 train_acc: 0.5949 | val_loss: 0.5348 val_acc: 0.8268
Epoch 03/60 | train_loss: 0.8925 train_acc: 0.6978 | val_loss: 0.4694 val_acc: 0.8418
Epoch 04/60 | train_loss: 0.7353 train_acc: 0.7498 | val_loss: 0.3443 val_acc: 0.8825
Epoch 05/60 | train_loss: 0.6274 train_acc: 0.7814 | val_loss: 0.2886 val_acc: 0.8975
Epoch 06/60 | train_loss: 0.5276 train_acc: 0.8116 | val_loss: 0.2654 val_acc: 0.9079
Epoch 07/60 | train_loss: 0.4878 train_acc: 0.8315 | val_loss: 0.2258 val_acc: 0.9206
Epoch 08/60 | train_loss: 0.4187 train_acc: 0.8539 | val_loss: 0.2949 val_acc: 0.8892
Epoch 09/60 | train_loss: 0.3864 train_acc: 0.8633 | val_loss: 0.1635 val_acc: 0.9466
Epoch 10/60 | train_loss: 0.3402 train_acc: 0.8793 | val_loss: 0.1425 val_acc: 0.9489
Epoch 11/60 | train_loss: 0.3240 train_acc: 0.8863 | val_loss: 0.1383 val_acc: 0.9519
Epoch 12/60 | train_loss: 0.2880 train_acc: 0.8986 | val_loss: 0.1299 val_acc: 0.9513
Epoch 13/60 | train_loss: 0.2862 train_acc: 0.9010 | val_loss: 0.0934 val_acc: 0.9670
Epoch 14/60 | train_loss: 0.2509 train_acc: 0.9119 | val_loss: 0.0650 val_acc: 0.9806
Epoch 15/60 | train_loss: 0.2478 train_acc: 0.9126 | val_loss: 0.1065 val_acc: 0.9656
Epoch 16/60 | train_loss: 0.2405 train_acc: 0.9168 | val_loss: 0.1554 val_acc: 0.9489
Epoch 17/60 | train_loss: 0.2163 train_acc: 0.9220 | val_loss: 0.0707 val_acc: 0.9770
Epoch 18/60 | train_loss: 0.2027 train_acc: 0.9306 | val_loss: 0.0553 val_acc: 0.9806
Epoch 19/60 | train_loss: 0.1956 train_acc: 0.9331 | val_loss: 0.0456 val_acc: 0.9893
Epoch 20/60 | train_loss: 0.1611 train_acc: 0.9446 | val_loss: 0.0678 val_acc: 0.9733
Epoch 21/60 | train_loss: 0.1837 train_acc: 0.9332 | val_loss: 0.2120 val_acc: 0.9272
Epoch 22/60 | train_loss: 0.1617 train_acc: 0.9434 | val_loss: 0.0582 val_acc: 0.9826
Epoch 23/60 | train_loss: 0.1552 train_acc: 0.9453 | val_loss: 0.1641 val_acc: 0.9369
Epoch 24/60 | train_loss: 0.1438 train_acc: 0.9483 | val_loss: 0.0300 val_acc: 0.9943
Epoch 25/60 | train_loss: 0.1385 train_acc: 0.9519 | val_loss: 0.0351 val_acc: 0.9883
Epoch 26/60 | train_loss: 0.1299 train_acc: 0.9548 | val_loss: 0.0445 val_acc: 0.9846
Epoch 27/60 | train_loss: 0.1248 train_acc: 0.9571 | val_loss: 0.0629 val_acc: 0.9783
Epoch 28/60 | train_loss: 0.1294 train_acc: 0.9557 | val_loss: 0.0389 val_acc: 0.9860
Epoch 29/60 | train_loss: 0.1188 train_acc: 0.9573 | val_loss: 0.0265 val_acc: 0.9910
Epoch 30/60 | train_loss: 0.1225 train_acc: 0.9577 | val_loss: 0.0279 val_acc: 0.9903
Epoch 31/60 | train_loss: 0.1050 train_acc: 0.9631 | val_loss: 0.0335 val_acc: 0.9903
Epoch 32/60 | train_loss: 0.0945 train_acc: 0.9681 | val_loss: 0.0162 val_acc: 0.9960
Epoch 33/60 | train_loss: 0.0913 train_acc: 0.9677 | val_loss: 0.0385 val_acc: 0.9880
Epoch 34/60 | train_loss: 0.1015 train_acc: 0.9644 | val_loss: 0.0211 val_acc: 0.9947
Epoch 35/60 | train_loss: 0.0983 train_acc: 0.9681 | val_loss: 0.0134 val_acc: 0.9973
Epoch 36/60 | train_loss: 0.0838 train_acc: 0.9706 | val_loss: 0.0110 val_acc: 0.9983
Epoch 37/60 | train_loss: 0.0957 train_acc: 0.9660 | val_loss: 0.0065 val_acc: 0.9993
Epoch 38/60 | train_loss: 0.0809 train_acc: 0.9718 | val_loss: 0.0089 val_acc: 0.9983
Epoch 39/60 | train_loss: 0.0832 train_acc: 0.9708 | val_loss: 0.0146 val_acc: 0.9963
Epoch 40/60 | train_loss: 0.0899 train_acc: 0.9687 | val_loss: 0.0436 val_acc: 0.9826
Epoch 41/60 | train_loss: 0.0672 train_acc: 0.9774 | val_loss: 0.0133 val_acc: 0.9957
Epoch 42/60 | train_loss: 0.0663 train_acc: 0.9767 | val_loss: 0.0051 val_acc: 0.9990
Epoch 43/60 | train_loss: 0.0796 train_acc: 0.9735 | val_loss: 0.0110 val_acc: 0.9970
Epoch 44/60 | train_loss: 0.0725 train_acc: 0.9755 | val_loss: 0.0162 val_acc: 0.9933
Epoch 45/60 | train_loss: 0.0701 train_acc: 0.9754 | val_loss: 0.0156 val_acc: 0.9947
Epoch 46/60 | train_loss: 0.0728 train_acc: 0.9759 | val_loss: 0.0064 val_acc: 0.9987
Epoch 47/60 | train_loss: 0.0592 train_acc: 0.9794 | val_loss: 0.0067 val_acc: 0.9990
Epoch 48/60 | train_loss: 0.0630 train_acc: 0.9789 | val_loss: 0.0044 val_acc: 0.9993
Epoch 49/60 | train_loss: 0.0609 train_acc: 0.9792 | val_loss: 0.0121 val_acc: 0.9937
Epoch 50/60 | train_loss: 0.0613 train_acc: 0.9795 | val_loss: 0.0109 val_acc: 0.9963
Epoch 51/60 | train_loss: 0.0627 train_acc: 0.9791 | val_loss: 0.0121 val_acc: 0.9967
Epoch 52/60 | train_loss: 0.0575 train_acc: 0.9813 | val_loss: 0.0046 val_acc: 0.9997
Epoch 53/60 | train_loss: 0.0554 train_acc: 0.9815 | val_loss: 0.0086 val_acc: 0.9977
Epoch 54/60 | train_loss: 0.0512 train_acc: 0.9828 | val_loss: 0.0080 val_acc: 0.9973
Epoch 55/60 | train_loss: 0.0503 train_acc: 0.9836 | val_loss: 0.0241 val_acc: 0.9927
Epoch 56/60 | train_loss: 0.0582 train_acc: 0.9813 | val_loss: 0.0118 val_acc: 0.9957
Epoch 57/60 | train_loss: 0.0522 train_acc: 0.9831 | val_loss: 0.0091 val_acc: 0.9967
Epoch 58/60 | train_loss: 0.0527 train_acc: 0.9819 | val_loss: 0.0043 val_acc: 0.9993
Epoch 59/60 | train_loss: 0.0523 train_acc: 0.9823 | val_loss: 0.0146 val_acc: 0.9960
Epoch 60/60 | train_loss: 0.0510 train_acc: 0.9845 | val_loss: 0.0028 val_acc: 0.9993
