epoch,train_loss,train_acc,val_loss,val_acc
1,0.30549,0.80338,0.16209,0.52928
2,0.18754,0.89635,0.09726,0.88345
3,0.16329,0.91872,0.09295,0.94197
4,0.14647,0.90625,0.12345,0.99195
5,0.12821,0.96549,0.08398,0.99472
6,0.11866,0.96734,0.07953,0.99411
7,0.11033,0.98082,0.12516,0.995
8,0.10569,0.98843,0.09771,0.995
9,0.10065,0.98112,0.09585,0.9947
10,0.09621,0.99032,0.09741,0.99499
11,0.09439,0.99306,0.08898,0.995
12,0.09082,0.9849,0.07965,0.995
13,0.08735,0.99482,0.08752,0.995
14,0.08556,0.99699,0.0986,0.995
15,0.08469,0.99675,0.0881,0.995
16,0.07896,0.99756,0.13853,0.995
17,0.0783,0.99446,0.13241,0.995
18,0.0775,0.98619,0.17361,0.99461
19,0.07447,0.99684,0.0686,0.995
20,0.07329,0.99763,0.09798,0.995
21,0.07146,0.99786,0.09294,0.995
22,inf,0.99638,0.07972,0.995
23,0.06827,0.99657,0.08303,0.995
24,0.06723,0.99645,0.10281,0.995
25,0.06635,0.96751,0.08884,0.99351
26,0.065,0.99754,0.09653,0.995
27,0.0619,0.99813,0.06607,0.995
28,0.06074,0.99795,0.09625,0.995
