epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,757.831,0,58.0377,0,0,0,0,0,0,89.3624,0,8.31197e-05,8.31197e-05,8.31197e-05
2,1509.53,0,49.4015,0,0,0,0,0,0,77.8393,0,0.000164393,0.000164393,0.000164393
3,2259.22,0,41.4929,0,0,0,0,0,0,64.0642,0,0.000243604,0.000243604,0.000243604
4,3001.1,0,33.4886,0,0,0,0,0,0,79.5822,0,0.000240719,0.000240719,0.000240719
5,3751.01,0,26.215,0,0,0,0,0,0,39.4424,0,0.000237625,0.000237625,0.000237625
6,4483.43,0,20.1979,0,0,0,0,0,0,29.897,0,0.000234531,0.000234531,0.000234531
7,5230.77,0,15.3086,0,0,0,0,0,0,22.5369,0,0.000231438,0.000231438,0.000231438
8,5988.16,0,11.4913,0,0,0,0,0,0,16.7501,0,0.000228344,0.000228344,0.000228344
9,6763.79,0,8.53015,0,0,0,0,0,0,12.4652,0,0.00022525,0.00022525,0.00022525
10,7514.56,0,6.28479,0,0,0,0,0,0,9.2525,0,0.000222156,0.000222156,0.000222156
