epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.402,0.30549,2.3938,1.05781,0.80338,0.44114,0.52928,0.52633,0.16209,0.99856,0.24371,0.000107606,0.000107606,0.000107606
2,694.846,0.18754,1.14393,0.95129,0.89635,0.83398,0.88345,0.88345,0.09726,0.46106,0.1642,0.000209945,0.000209945,0.000209945
3,1034.33,0.16329,0.85205,0.93309,0.91872,0.89131,0.94197,0.94184,0.09295,0.3966,0.14664,0.000306954,0.000306954,0.000306954
4,1370.17,0.14647,0.68757,0.92155,0.90625,0.95219,0.99195,0.99184,0.12345,0.30327,0.16379,0.000299017,0.000299017,0.000299017
5,1709.76,0.12821,0.56925,0.91434,0.96549,0.98749,0.99472,0.99465,0.08398,0.19011,0.1278,0.000291023,0.000291023,0.000291023
6,2029.35,0.11866,0.50064,0.91063,0.96734,0.9835,0.99411,0.99395,0.07953,0.20584,0.11433,0.000283029,0.000283029,0.000283029
7,2321.08,0.11033,0.44006,0.90812,0.98082,0.99741,0.995,0.99496,0.12516,0.17098,0.15958,0.000275035,0.000275035,0.000275035
8,2611.05,0.10569,0.40666,0.90518,0.98843,0.99678,0.995,0.995,0.09771,0.12239,0.13532,0.00026704,0.00026704,0.00026704
9,2896.81,0.10065,0.37565,0.9046,0.98112,0.99551,0.9947,0.9947,0.09585,0.12529,0.11609,0.000259046,0.000259046,0.000259046
10,3224.22,0.09621,0.35264,0.90119,0.99032,0.99239,0.99499,0.99499,0.09741,0.11879,0.12453,0.000251052,0.000251052,0.000251052
11,3532.38,0.09439,0.33371,0.90188,0.99306,0.9967,0.995,0.99489,0.08898,0.12823,0.1208,0.000243057,0.000243057,0.000243057
12,3842.57,0.09082,0.32204,0.89998,0.9849,0.99985,0.995,0.99498,0.07965,0.11442,0.10278,0.000235063,0.000235063,0.000235063
13,4154.61,0.08735,0.29769,0.9002,0.99482,0.99923,0.995,0.99443,0.08752,0.10738,0.1124,0.000227069,0.000227069,0.000227069
14,4469.03,0.08556,0.2905,0.90023,0.99699,0.99882,0.995,0.99499,0.0986,0.11694,0.12017,0.000219075,0.000219075,0.000219075
15,4780.54,0.08469,0.27392,0.89951,0.99675,0.99954,0.995,0.995,0.0881,0.09836,0.10986,0.00021108,0.00021108,0.00021108
16,5094.2,0.07896,0.26579,0.8963,0.99756,0.99684,0.995,0.99359,0.13853,0.19014,0.15411,0.000203086,0.000203086,0.000203086
17,5408.29,0.0783,0.25758,0.89725,0.99446,0.99969,0.995,0.995,0.13241,0.18888,0.15228,0.000195092,0.000195092,0.000195092
18,5722.32,0.0775,0.24497,0.89764,0.98619,0.99918,0.99461,0.99453,0.17361,0.22525,0.19144,0.000187098,0.000187098,0.000187098
19,6034.8,0.07447,0.23675,0.89499,0.99684,0.99799,0.995,0.995,0.0686,0.08621,0.09858,0.000179103,0.000179103,0.000179103
20,6350.76,0.07329,0.23278,0.89449,0.99763,0.99946,0.995,0.995,0.09798,0.15171,0.12169,0.000171109,0.000171109,0.000171109
21,6665.03,0.07146,0.22292,0.89579,0.99786,0.99997,0.995,0.995,0.09294,0.12815,0.11437,0.000163115,0.000163115,0.000163115
22,6980.01,inf,0.2159,0.89466,0.99638,1,0.995,0.995,0.07972,0.10649,0.10507,0.000155121,0.000155121,0.000155121
23,7294.77,0.06827,0.20881,0.89389,0.99657,0.99985,0.995,0.995,0.08303,0.07668,0.09651,0.000147126,0.000147126,0.000147126
24,7611.09,0.06723,0.20781,0.89282,0.99645,0.99996,0.995,0.995,0.10281,0.16298,0.12582,0.000139132,0.000139132,0.000139132
25,7928.09,0.06635,0.19614,0.89179,0.96751,0.99701,0.99351,0.99303,0.08884,0.12069,0.1074,0.000131138,0.000131138,0.000131138
26,8241,0.065,0.19409,0.89504,0.99754,0.99983,0.995,0.99491,0.09653,0.12534,0.11923,0.000123144,0.000123144,0.000123144
27,8557.82,0.0619,0.18322,0.89492,0.99813,0.9999,0.995,0.995,0.06607,0.0756,0.08682,0.000115149,0.000115149,0.000115149
28,8872.05,0.06074,0.18044,0.89229,0.99795,0.99926,0.995,0.995,0.09625,0.13499,0.11654,0.000107155,0.000107155,0.000107155
